GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dbpedia-api,dbpedia.api,Start,8,0,0,0,3,0,2,0,2,0
dbpedia-api,dbpedia.api.versioning,VersionLoader,30,154,1,11,6,34,3,8,2,3
dbpedia-api,dbpedia.api.versioning,SemanticVersionSet,10,76,3,7,3,20,5,9,2,7
dbpedia-api,dbpedia.api.versioning,VersionNotFoundException,0,3,0,0,0,1,0,1,0,1
dbpedia-api,dbpedia.api.versioning,SemanticVersionSet.Builder,0,32,0,0,0,7,0,3,0,3
dbpedia-api,dbpedia.api.versioning,VersionHandler,23,388,3,35,4,97,5,29,2,13
dbpedia-api,dbpedia.api.configuration,InfoController,65,0,2,0,11,0,4,0,3,0
dbpedia-api,dbpedia.api.configuration,SwaggerConf,65,0,0,0,18,0,4,0,4,0
dbpedia-api,dbpedia.api.configuration,Configuration,229,120,8,2,51,24,20,6,16,5
dbpedia-api,dbpedia.api.model,Filter,74,169,24,24,14,40,19,19,1,13
dbpedia-api,dbpedia.api.model,RequestModel.AbstractBuilder,13,125,3,7,3,28,3,11,0,9
dbpedia-api,dbpedia.api.model,RequestModel.ReturnFormat,0,84,0,0,0,2,0,1,0,1
dbpedia-api,dbpedia.api.model,EntityRequestModel.Builder,0,61,0,0,0,14,0,7,0,7
dbpedia-api,dbpedia.api.model,ResourceModel,12,63,6,4,3,16,6,6,1,6
dbpedia-api,dbpedia.api.model,Window,64,0,14,0,19,0,13,0,6,0
dbpedia-api,dbpedia.api.model,AbstractSemanticVersion,45,70,12,4,11,15,10,8,4,6
dbpedia-api,dbpedia.api.model,ValueRequestModel.Builder,0,55,0,0,0,13,0,7,0,7
dbpedia-api,dbpedia.api.model,ApiVersion,62,30,12,2,14,7,10,3,3,3
dbpedia-api,dbpedia.api.model,Filter.Builder,5,112,2,4,1,29,2,11,0,10
dbpedia-api,dbpedia.api.model,ValueRequestModel,3,43,3,3,1,11,4,6,1,6
dbpedia-api,dbpedia.api.model,RequestModel,56,32,15,1,14,11,11,9,3,9
dbpedia-api,dbpedia.api.model,UserModel.userType,0,24,0,0,0,2,0,1,0,1
dbpedia-api,dbpedia.api.model,UserModel,43,19,0,0,14,8,8,2,8,2
dbpedia-api,dbpedia.api.model,ResourceModel.Builder,49,0,2,0,12,0,6,0,5,0
dbpedia-api,dbpedia.api.model,RequestModel.Style,0,44,0,0,0,2,0,1,0,1
dbpedia-api,dbpedia.api.model,LogDataModel,107,55,2,0,18,24,4,15,3,15
dbpedia-api,dbpedia.api.model,EntityRequestModel,43,45,15,3,10,12,12,7,3,7
dbpedia-api,dbpedia.api.model,Filter.Bool,0,24,0,0,0,3,0,1,0,1
dbpedia-api,dbpedia.api.model,ResultSetWrapper,25,0,0,0,11,0,5,0,5,0
dbpedia-api,dbpedia.api.controller,InvalidUserkeyException,4,0,0,0,2,0,1,0,1,0
dbpedia-api,dbpedia.api.controller,RequestHandlerImplementation.new Object() {...},86,0,0,0,2,0,1,0,1,0
dbpedia-api,dbpedia.api.controller,Controller,955,0,78,0,205,0,57,0,15,0
dbpedia-api,dbpedia.api.controller,RequestHandlerImplementation,1060,404,106,43,212,92,73,22,10,6
dbpedia-api,dbpedia.api.controller,DBpediaClient,55,0,0,0,11,0,3,0,3,0
dbpedia-api,dbpedia.api.controller,APIKeyHandler,117,68,12,4,23,18,11,5,5,3
dbpedia-api,dbpedia.api.controller,LimitExceededException,13,0,0,0,2,0,1,0,1,0
dbpedia-api,dbpedia.api.factory,EntityRequestQueryFactory.new Object() {...},2,17,0,0,0,1,0,1,0,1
dbpedia-api,dbpedia.api.factory,ValueRequestQueryFactory,34,249,2,12,3,40,3,7,1,2
dbpedia-api,dbpedia.api.factory,DBpediaQueryFactory,35,127,2,4,8,24,4,8,3,6
dbpedia-api,dbpedia.api.factory,EntityRequestQueryFactory,82,466,15,32,5,79,11,19,1,5
